Order Number,Sales Date,Month,Sales Channel,Currency,Salesteam,Salesteam Region,Store Name,State,Product Name,Product Category,Order qty,unit price,unit cost
SO40,4/15/2020,April,In-Store,USD,Joshua Little,South,Brooklyn,New York,Computers,Electronics,2,614.08,438.63
SO41,2/12/2020,February,Distributor,USD,Jerry Green,West,Naperville (Township),Illinois,Table Linens,Decoratives,4,239.83,171.31
SO42,4/27/2020,April,In-Store,USD,Joshua Ryan,Midwest,Lansing,Michigan,Mirrors,Accessories,3,290.22,207.30
SO43,4/18/2020,April,In-Store,USD,Roy Rice,Midwest,Lakewood,Colorado,TV and video,Electronics,3,444.07,317.19
SO44,1/13/2020,January,Wholesale,USD,Patrick Graham,South,Aurora,Illinois,TV and video,Electronics,4,288.65,206.18
SO45,1/14/2020,January,Online,USD,Joshua Little,South,Los Angeles,California,Baseball,Sports,5,180.97,129.26
SO46,4/18/2020,April,In-Store,USD,Jerry Green,West,Schaumburg (Township),Illinois,Dinnerware,Kitchenery,4,190.49,136.07
SO47,1/11/2020,January,Online,USD,Patrick Graham,South,Fullerton,California,Vases,Decoratives,9,194.43,138.88
SO48,4/17/2020,April,Online,USD,Patrick Graham,South,Elizabeth,New Jersey,Furniture Cushions,Furniture,6,304.31,217.36
SO49,2/28/2020,February,Online,USD,Patrick Graham,South,Pompano Beach,Florida,Serveware,Kitchenery,5,455.08,325.06
SO50,3/25/2020,March,Wholesale,USD,Adam Hernandez,Northeast,El Monte,California,Wreaths,Decoratives,3,534.18,381.56
SO51,3/31/2020,March,Wholesale,USD,Patrick Graham,South,Raleigh,North Carolina,Vanities,Collections,9,299.54,213.96
SO52,2/6/2020,February,Online,USD,Stephen Payne,South,Sunnyvale,California,Bar Tools,Drinkware,8,212.67,151.91
SO53,4/17/2020,April,Online,USD,Chris Armstrong,Northeast,Lyons (Township),Illinois,Wreaths,Decoratives,4,184.10,131.50
SO54,1/1/2020,January,In-Store,USD,Chris Armstrong,Northeast,Clarksville,Tennessee,Furniture Cushions,Furniture,1,605.04,432.17
SO55,2/5/2020,February,In-Store,USD,Nicholas Cunningham,South,Islip,New York,Wine Storage,Drinkware,1,434.46,310.33
SO56,4/8/2020,April,Distributor,USD,Nicholas Cunningham,South,Port St. Lucie,Florida,Dinnerware,Kitchenery,6,393.68,281.20
SO57,4/26/2020,April,Online,USD,Joshua Bennett,Northeast,Fresno,California,Bean Bags,Furniture,10,514.02,367.16
SO58,2/9/2020,February,Online,USD,Chris Armstrong,Northeast,Austin,Texas,Dinnerware,Kitchenery,9,628.65,449.04
SO59,3/6/2020,March,Distributor,USD,George Lewis,West,The Woodlands,Texas,Cookware,Kitchenery,3,454.75,324.82
SO60,3/4/2020,March,Online,USD,Jonathan Hawkins,West,Rialto,California,Bean Bags,Furniture,6,184.67,131.91
SO61,4/5/2020,April,Distributor,USD,Joshua Ryan,Midwest,Jersey City,New Jersey,TV and video,Electronics,9,207.67,148.33
SO62,3/5/2020,March,In-Store,USD,Joshua Kenedy,West,Peoria,Illinois,Rugs,Decoratives,2,465.11,332.22
SO63,5/22/2020,May,In-Store,USD,Frank Brown,Northeast,Cedar Rapids,Iowa,Bar Tools,Drinkware,9,310.43,221.74
SO64,1/17/2020,January,Distributor,USD,Jerry Green,West,Glendale,Arizona,Accessories,Accessories,10,643.70,459.78
SO65,1/27/2020,January,In-Store,USD,Joshua Bennett,Northeast,Lexington-Fayette,Kentucky,Wall Coverings,Decoratives,9,380.69,271.92
SO66,1/23/2020,January,Online,USD,Joshua Ryan,Midwest,Dayton,Ohio,Dining Furniture,Furniture,6,431.01,307.86
SO67,5/15/2020,May,Wholesale,USD,Shawn Wallace,South,San Angelo,Texas,Bakeware,Kitchenery,4,586.06,418.62
SO68,1/17/2020,January,Online,USD,Samuel Fowler,Midwest,Augusta,Georgia,Bean Bags,Furniture,4,424.10,302.93
SO69,5/6/2020,May,Wholesale,USD,Roger Alexander,Midwest,Pearland,Texas,Clocks,Accessories,1,344.87,246.34
SO70,3/16/2020,March,Online,USD,Samuel Fowler,Midwest,Olathe,Kansas,Cookware,Kitchenery,6,242.60,173.29
SO71,1/26/2020,January,Online,USD,Joshua Kenedy,West,Boulder,Colorado,Platters,Kitchenery,5,160.17,114.41
SO72,4/5/2020,April,Wholesale,USD,Joshua Little,South,Providence,Rhode Island,Stemware,Drinkware,6,291.35,208.11
SO73,3/15/2020,March,Distributor,USD,Jonathan Hawkins,West,Las Vegas,Nevada,Rugs,Decoratives,3,590.59,421.85
SO74,1/14/2020,January,Distributor,USD,Joshua Kenedy,West,Lakeland,Florida,Vases,Decoratives,6,589.28,420.92
SO75,5/19/2020,May,Online,USD,Jerry Green,West,Henderson,Nevada,Mirrors,Accessories,6,502.90,359.21
SO76,1/2/2020,January,In-Store,USD,Adam Hernandez,Northeast,San Francisco,California,TV and video,Electronics,1,250.13,178.67
SO77,4/19/2020,April,Distributor,USD,Samuel Fowler,Midwest,Babylon (Town),New York,Stemware,Drinkware,7,383.62,274.01
SO78,3/22/2020,March,Distributor,USD,Douglas Tucker,Midwest,Seattle,Washington,Cocktail Glasses,Drinkware,7,323.28,230.92
SO79,3/5/2020,March,Wholesale,USD,Nicholas Cunningham,South,Mesquite,Texas,Baseball,Sports,7,579.85,414.18
SO80,1/31/2020,January,Wholesale,USD,Paul Holmes,Midwest,Hialeah,Florida,Cocktail Glasses,Drinkware,6,303.66,216.90
SO81,2/5/2020,February,In-Store,USD,Joe Price,Northeast,San Buenaventura (Ventura),California,Table Linens,Decoratives,9,497.15,355.11
SO82,1/3/2020,January,Distributor,USD,Anthony Berry,West,Hayward,California,Outdoor Furniture,Furniture,10,287.63,205.45
SO83,1/30/2020,January,Wholesale,USD,Joshua Ryan,Midwest,Scottsdale,Arizona,Festive,Decoratives,7,398.28,284.48
SO84,3/22/2020,March,Online,USD,Shawn Cook,Midwest,Fayetteville,North Carolina,Outdoor Decor,Decoratives,5,336.25,240.18
SO85,3/27/2020,March,Distributor,USD,Douglas Tucker,Midwest,Maine,Illinois,Dining Furniture,Furniture,2,558.02,398.59
SO86,2/2/2020,February,Distributor,USD,Donald Reynolds,South,Garden Grove,California,Collectibles,Collections,6,255.33,182.38
SO87,2/5/2020,February,Distributor,USD,Adam Hernandez,Northeast,Green Bay,Wisconsin,Furniture Cushions,Furniture,3,169.45,121.03
SO88,4/25/2020,April,Online,USD,Chris Armstrong,Northeast,Rancho Cucamonga,California,Stemware,Drinkware,2,622.16,444.40
SO89,1/11/2020,January,Online,USD,Joshua Kenedy,West,Murfreesboro,Tennessee,Outdoor Decor,Decoratives,8,526.28,375.91
SO90,3/6/2020,March,Online,USD,Samuel Fowler,Midwest,Torrance,California,Wreaths,Decoratives,6,502.85,359.18
SO91,4/14/2020,April,Online,USD,Joshua Little,South,Carlsbad,California,Outdoor Furniture,Furniture,9,598.29,427.35
SO92,2/14/2020,February,In-Store,USD,Roy Rice,Midwest,The Woodlands,Texas,Vanities,Collections,4,455.67,325.48
SO93,1/8/2020,January,In-Store,USD,Donald Reynolds,South,Tyler,Texas,Floor Lamps,Lighting,6,295.89,211.35
SO94,1/2/2020,January,Wholesale,USD,Patrick Graham,South,Little Rock,Arkansas,Candles,Lighting,9,502.80,359.15
SO95,4/5/2020,April,In-Store,USD,Samuel Fowler,Midwest,Las Vegas,Nevada,Wall Frames,Decoratives,4,292.28,208.77
SO96,4/19/2020,April,Online,USD,Paul Holmes,Midwest,Lehigh Acres,Florida,Outdoor Decor,Decoratives,2,413.40,295.29
SO97,2/14/2020,February,Online,USD,Keith Griffin,Northeast,Tucson,Arizona,Vases,Decoratives,4,422.82,302.02
SO98,5/22/2020,May,Online,USD,Chris Armstrong,Northeast,Midland,Texas,Audio,Electronics,2,246.90,176.36
SO99,1/21/2020,January,In-Store,USD,Keith Griffin,Northeast,Springfield,Missouri,Bar Tools,Drinkware,2,309.60,221.14
SO100,3/31/2020,March,Online,USD,Jerry Green,West,Peoria,Arizona,Vanities,Collections,3,232.90,166.35
SO101,4/19/2020,April,Online,USD,George Lewis,West,Beaumont,Texas,Stemware,Drinkware,7,473.24,338.03
SO102,4/24/2020,April,Distributor,USD,Joe Price,Northeast,Oceanside,California,Audio,Electronics,7,191.15,136.54
SO103,4/8/2020,April,Distributor,USD,Chris Armstrong,Northeast,Palmdale,California,Bean Bags,Furniture,5,315.50,225.35
SO104,3/6/2020,March,In-Store,USD,Joe Price,Northeast,Memphis,Tennessee,Cookware,Kitchenery,9,323.45,231.03
SO105,2/24/2020,February,Wholesale,USD,Nicholas Cunningham,South,Macon,Georgia,Floor Lamps,Lighting,4,503.09,359.35
SO106,4/15/2020,April,Distributor,USD,Stephen Payne,South,The Woodlands,Texas,Outdoor Decor,Decoratives,3,324.35,231.68
SO107,3/20/2020,March,Distributor,USD,Joshua Little,South,Chattanooga,Tennessee,Bar Tools,Drinkware,9,374.95,267.82
SO108,5/26/2020,May,Online,USD,Stephen Payne,South,Concord,California,Candleholders,Decoratives,10,396.18,282.99
SO109,3/22/2020,March,In-Store,USD,George Lewis,West,Highlands Ranch,Colorado,Vanities,Collections,6,157.80,112.71
SO110,1/12/2020,January,Wholesale,USD,Frank Brown,Northeast,Broken Arrow,Oklahoma,Table Linens,Decoratives,9,363.72,259.80
SO111,5/11/2020,May,Online,USD,Shawn Wallace,South,Fairfield,California,Ornaments,Decoratives,3,365.57,261.12
SO112,4/14/2020,April,Wholesale,USD,Anthony Berry,West,Carlsbad,California,Candles,Lighting,7,223.38,159.56
SO113,2/22/2020,February,Distributor,USD,Jonathan Hawkins,West,El Monte,California,Festive,Decoratives,3,402.34,287.39
SO114,5/24/2020,May,Wholesale,USD,Todd Roberts,West,Roseville,California,Rugs,Decoratives,3,576.93,412.10
SO115,4/3/2020,April,In-Store,USD,Shawn Cook,Midwest,Shreveport,Louisiana,Ornaments,Decoratives,9,517.68,369.77
SO116,4/2/2020,April,In-Store,USD,Stephen Payne,South,Laredo,Texas,Floor Lamps,Lighting,1,523.06,373.61
SO117,2/20/2020,February,In-Store,USD,Joshua Little,South,Pomona,California,Candles,Lighting,5,366.48,261.77
SO118,5/26/2020,May,In-Store,USD,Shawn Wallace,South,Center,Indiana,Table Linens,Decoratives,7,224.25,160.18
SO119,5/10/2020,May,Online,USD,Jerry Green,West,Santa Ana,California,Stemware,Drinkware,7,576.80,412.00
SO120,2/9/2020,February,In-Store,USD,Paul Holmes,Midwest,Aurora (Township),Illinois,Wall Frames,Decoratives,4,461.80,329.86
SO121,3/13/2020,March,In-Store,USD,Joe Price,Northeast,Thornton (Township),Illinois,Floor Lamps,Lighting,3,327.29,233.78
SO122,3/21/2020,March,Distributor,USD,Chris Armstrong,Northeast,Fremont,California,Ornaments,Decoratives,4,635.01,453.58
SO123,3/6/2020,March,Distributor,USD,Shawn Wallace,South,Spokane,Washington,Serveware,Kitchenery,6,594.19,424.42
SO124,5/25/2020,May,Distributor,USD,George Lewis,West,Lexington-Fayette,Kentucky,Platters,Kitchenery,1,292.82,209.16
SO125,2/23/2020,February,Wholesale,USD,Joshua Little,South,Lewisville,Texas,Bedroom Furniture,Furniture,8,307.91,219.94
SO126,2/1/2020,February,In-Store,USD,Donald Reynolds,South,Ramapo,New York,Bedroom Furniture,Furniture,2,393.35,280.96
SO127,4/20/2020,April,In-Store,USD,Paul Holmes,Midwest,Sunrise Manor,Nevada,Wine Storage,Drinkware,10,339.81,242.72
SO128,2/22/2020,February,Distributor,USD,Paul Holmes,Midwest,Queens,New York,TV and video,Electronics,4,612.31,437.36
SO129,4/4/2020,April,Online,USD,Paul Holmes,Midwest,Cambridge,Massachusetts,Cocktail Glasses,Drinkware,7,304.59,217.57
SO130,2/21/2020,February,Online,USD,Jonathan Hawkins,West,Stockton,California,Vases,Decoratives,6,168.10,120.07
SO131,4/27/2020,April,In-Store,USD,Paul Holmes,Midwest,Chandler,Arizona,Home Fragrances,Decoratives,10,343.45,245.32
SO132,1/21/2020,January,Distributor,USD,Todd Roberts,West,Oklahoma City,Oklahoma,Table Lamps,Lighting,4,238.01,170.01
SO133,4/18/2020,April,Wholesale,USD,Donald Reynolds,South,Spring Valley,Nevada,Bedroom Furniture,Furniture,10,638.92,456.37
SO134,5/22/2020,May,Distributor,USD,Jerry Green,West,Colorado Springs,Colorado,Bedroom Furniture,Furniture,8,153.04,109.31
SO135,3/29/2020,March,In-Store,USD,Jerry Green,West,Memphis,Tennessee,Festive,Decoratives,5,556.07,397.19
SO136,1/20/2020,January,Wholesale,USD,Frank Brown,Northeast,Providence,Rhode Island,Baseball,Sports,3,225.04,160.74
SO137,4/29/2020,April,Online,USD,Adam Hernandez,Northeast,Peoria City,Illinois,Phones,Electronics,8,431.37,308.12
SO138,5/9/2020,May,Online,USD,Donald Reynolds,South,Wilmington,North Carolina,Pendants,Collections,7,638.33,455.95
SO139,4/15/2020,April,Online,USD,Roy Rice,Midwest,Murfreesboro,Tennessee,Serveware,Kitchenery,4,639.52,456.80
SO140,3/12/2020,March,In-Store,USD,Roy Rice,Midwest,Metairie,Louisiana,Floral,Decoratives,6,491.96,351.40
SO141,5/21/2020,May,Online,USD,Shawn Cook,Midwest,Thousand Oaks,California,Table Linens,Decoratives,7,208.05,148.60
SO142,1/19/2020,January,In-Store,USD,Joshua Bennett,Northeast,Durham,North Carolina,Vases,Decoratives,7,202.22,144.45
SO143,1/7/2020,January,Distributor,USD,Roger Alexander,Midwest,Lehigh Acres,Florida,Wall Frames,Decoratives,2,381.36,272.40
SO144,2/1/2020,February,In-Store,USD,Shawn Cook,Midwest,Garland,Texas,Wreaths,Decoratives,9,580.14,414.38
SO145,4/3/2020,April,Wholesale,USD,Todd Roberts,West,Newport News,Virginia,Floral,Decoratives,4,624.70,446.21
SO146,4/6/2020,April,In-Store,USD,Douglas Tucker,Midwest,Boston,Massachusetts,Wall Frames,Decoratives,5,541.00,386.43
SO147,1/2/2020,January,Online,USD,Samuel Fowler,Midwest,Athens,Georgia,Accessories,Accessories,8,235.04,167.89
SO148,5/31/2020,May,Online,USD,Joshua Little,South,Washington,Indiana,Basketball,Sports,1,538.27,384.48
SO149,3/2/2020,March,Wholesale,USD,Chris Armstrong,Northeast,Birmingham,Alabama,Bean Bags,Furniture,7,314.01,224.30
SO150,1/6/2020,January,Wholesale,USD,Patrick Graham,South,Toledo,Ohio,Platters,Kitchenery,3,402.20,287.29
SO151,4/26/2020,April,Online,USD,Frank Brown,Northeast,Milwaukee,Wisconsin,Table Lamps,Lighting,10,482.29,344.49
SO152,1/25/2020,January,Distributor,USD,Samuel Fowler,Midwest,Moreno Valley,California,Vases,Decoratives,10,429.26,306.61
SO153,5/16/2020,May,Online,USD,Joshua Ryan,Midwest,Newport News,Virginia,Baseball,Sports,5,371.10,265.07
SO154,5/5/2020,May,In-Store,USD,Carl Nguyen,Midwest,North Hempstead,New York,Wine Storage,Drinkware,5,164.04,117.17
SO155,5/4/2020,May,In-Store,USD,Joshua Bennett,Northeast,Frisco,Texas,Floral,Decoratives,6,520.73,371.95
SO156,5/23/2020,May,Online,USD,Adam Hernandez,Northeast,Wichita,Kansas,Wreaths,Decoratives,2,463.27,330.91
SO157,5/22/2020,May,Wholesale,USD,Adam Hernandez,Northeast,West Valley City,Utah,Pendants,Collections,10,447.27,319.48
SO158,4/30/2020,April,Online,USD,Joshua Kenedy,West,Bremen,Illinois,Computers,Electronics,1,528.16,377.25
SO159,5/16/2020,May,In-Store,USD,Todd Roberts,West,Fontana,California,Home Fragrances,Decoratives,2,280.81,200.58
SO160,1/3/2020,January,Online,USD,Jerry Green,West,Victorville,California,Sculptures,Decoratives,9,254.07,181.48
SO161,1/10/2020,January,Online,USD,Paul Holmes,Midwest,Gilbert,Arizona,Sculptures,Decoratives,8,480.04,342.89
SO162,4/6/2020,April,Online,USD,Shawn Cook,Midwest,Vancouver,Washington,Pendants,Collections,10,335.52,239.65
SO163,5/27/2020,May,In-Store,USD,Stephen Payne,South,Hartford (Town),Connecticut,Audio,Electronics,10,264.89,189.20
SO164,2/8/2020,February,Online,USD,Todd Roberts,West,Riverside,California,Basketball,Sports,2,204.60,146.14
SO165,2/2/2020,February,In-Store,USD,Chris Armstrong,Northeast,Garland,Texas,Stemware,Drinkware,5,544.44,388.89
SO166,5/8/2020,May,Wholesale,USD,Joshua Ryan,Midwest,Wilmington,North Carolina,Photo Frames,Decoratives,8,519.66,371.19
SO167,4/4/2020,April,Distributor,USD,Joshua Ryan,Midwest,Round Rock,Texas,Wall Frames,Decoratives,3,208.68,149.06
SO168,4/23/2020,April,Wholesale,USD,Roy Rice,Midwest,Norman,Oklahoma,Collectibles,Collections,8,512.78,366.27
SO169,4/13/2020,April,Wholesale,USD,Stephen Payne,South,Knoxville,Tennessee,Photo Frames,Decoratives,2,328.47,234.62
SO170,5/10/2020,May,Online,USD,Joshua Little,South,Columbus,Ohio,Bedroom Furniture,Furniture,1,169.13,120.81
SO171,3/30/2020,March,Distributor,USD,Joe Price,Northeast,Grand Prairie,Texas,Floral,Decoratives,2,372.87,266.34
SO172,1/11/2020,January,In-Store,USD,Joshua Kenedy,West,San Diego,California,Vanities,Collections,4,302.63,216.16
SO173,2/17/2020,February,Distributor,USD,Chris Armstrong,Northeast,Seattle,Washington,Wardrobes,Furniture,5,236.89,169.20
SO174,3/9/2020,March,Online,USD,Joshua Ryan,Midwest,Hollywood,Florida,Table Linens,Decoratives,9,230.19,164.42
SO175,4/4/2020,April,Wholesale,USD,Adam Hernandez,Northeast,New Haven (Town),Connecticut,Wall Coverings,Decoratives,2,455.00,325.00
SO176,4/29/2020,April,In-Store,USD,Paul Holmes,Midwest,Sioux Falls,South Dakota,Dining Furniture,Furniture,4,387.58,276.84
SO177,5/25/2020,May,Wholesale,USD,Jerry Green,West,Huntington,New York,Dining Furniture,Furniture,2,616.25,440.18
SO178,2/25/2020,February,Distributor,USD,Jerry Green,West,Louisville,Kentucky,Candles,Lighting,9,320.75,229.11
SO179,3/24/2020,March,Online,USD,Jerry Green,West,Wilmington,North Carolina,Rugs,Decoratives,4,630.64,450.45
SO180,2/4/2020,February,In-Store,USD,Paul Holmes,Midwest,Chula Vista,California,Collectibles,Collections,10,648.02,462.87
SO181,1/30/2020,January,Online,USD,Paul Holmes,Midwest,St. Petersburg,Florida,Candleholders,Decoratives,3,604.15,431.53
SO182,2/2/2020,February,In-Store,USD,Frank Brown,Northeast,Hempstead (Town),New York,Platters,Kitchenery,2,178.60,127.57
SO183,4/1/2020,April,Wholesale,USD,Shawn Cook,Midwest,Bakersfield,California,Baseball,Sports,9,214.71,153.36
SO184,3/18/2020,March,In-Store,USD,Jerry Green,West,Port St. Lucie,Florida,Bean Bags,Furniture,2,540.19,385.85
SO185,2/7/2020,February,In-Store,USD,Stephen Payne,South,Riverside,California,Outdoor Decor,Decoratives,2,610.73,436.24
SO186,4/2/2020,April,Online,USD,Adam Hernandez,Northeast,Boise City,Idaho,Wall Frames,Decoratives,2,232.85,166.32
SO187,1/2/2020,January,Distributor,USD,Joshua Bennett,Northeast,El Paso,Texas,Phones,Electronics,1,456.21,325.86
SO188,4/29/2020,April,Wholesale,USD,Frank Brown,Northeast,Naperville,Illinois,Outdoor Furniture,Furniture,3,231.19,165.13
SO189,2/3/2020,February,Distributor,USD,Shawn Cook,Midwest,North,Indiana,Pillows,Beddings,5,416.48,297.48
SO190,3/26/2020,March,Online,USD,Patrick Graham,South,Amarillo,Texas,TV and video,Electronics,3,296.63,211.88
SO191,4/30/2020,April,Wholesale,USD,George Lewis,West,Wayne,Indiana,Wall Coverings,Decoratives,8,444.05,317.18
SO192,4/26/2020,April,Wholesale,USD,Shawn Cook,Midwest,Garland,Texas,Bathroom Furniture,Furniture,6,356.35,254.54
SO193,3/22/2020,March,Distributor,USD,Patrick Graham,South,Washington,District of Columbia,Photo Frames,Decoratives,6,401.20,286.57
SO194,1/18/2020,January,Distributor,USD,Chris Armstrong,Northeast,Lawrence (Township),Indiana,Serveware,Kitchenery,6,389.06,277.90
SO195,5/14/2020,May,Wholesale,USD,Joshua Bennett,Northeast,Lansing,Michigan,Bedroom Furniture,Furniture,3,152.20,108.71
SO196,3/14/2020,March,Online,USD,Anthony Berry,West,Smithtown,New York,Festive,Decoratives,2,398.81,284.86
SO197,4/7/2020,April,Online,USD,Jerry Green,West,Tulsa,Oklahoma,Phones,Electronics,5,393.33,280.95
SO198,2/7/2020,February,Online,USD,Jonathan Hawkins,West,El Monte,California,Vases,Decoratives,4,179.43,128.16
SO199,3/5/2020,March,Distributor,USD,Paul Holmes,Midwest,Escondido,California,Stemware,Drinkware,5,604.10,431.50
SO200,2/20/2020,February,In-Store,USD,Shawn Wallace,South,Dayton,Ohio,Computers,Electronics,3,200.32,143.09
SO201,5/25/2020,May,Online,USD,Chris Armstrong,Northeast,Tampa,Florida,Serveware,Kitchenery,7,648.40,463.14
SO202,5/30/2020,May,Distributor,USD,Joshua Kenedy,West,Worcester,Massachusetts,Bakeware,Kitchenery,7,560.66,400.47
SO203,2/24/2020,February,Wholesale,USD,Shawn Cook,Midwest,Hayward,California,Wall Coverings,Decoratives,5,154.29,110.21
SO204,2/13/2020,February,Distributor,USD,Shawn Cook,Midwest,Perry,Indiana,Table Lamps,Lighting,10,595.34,425.24
SO205,1/14/2020,January,Online,USD,George Lewis,West,Alexandria,Virginia,Sculptures,Decoratives,3,447.85,319.90
SO206,5/8/2020,May,Distributor,USD,Samuel Fowler,Midwest,Jersey City,New Jersey,Bedroom Furniture,Furniture,3,338.03,241.45
SO207,2/7/2020,February,In-Store,USD,Shawn Wallace,South,St. Louis,Missouri,Bakeware,Kitchenery,8,414.29,295.92
SO208,3/10/2020,March,Distributor,USD,Jonathan Hawkins,West,Pasadena,Texas,Phones,Electronics,10,162.36,115.97
SO209,2/12/2020,February,Online,USD,Keith Griffin,Northeast,Highlands Ranch,Colorado,Bakeware,Kitchenery,6,330.02,235.73
SO210,3/4/2020,March,Distributor,USD,Joshua Little,South,Aurora (Township),Illinois,Dining Furniture,Furniture,7,558.07,398.62
SO211,2/26/2020,February,Wholesale,USD,Jonathan Hawkins,West,South Bend,Indiana,Accessories,Accessories,10,279.74,199.82
SO212,5/7/2020,May,Online,USD,Keith Griffin,Northeast,Tempe,Arizona,Rugs,Decoratives,5,617.48,441.06
SO213,1/16/2020,January,Online,USD,Roy Rice,Midwest,Newark,New Jersey,Dining Furniture,Furniture,6,438.42,313.16
SO214,2/12/2020,February,Online,USD,Carl Nguyen,Midwest,Garden Grove,California,Wall Frames,Decoratives,10,445.84,318.46
