Order Number,Sales Date,Month,Sales Channel,Currency,Salesteam,Salesteam Region,Store Name,State,Product Name,Product Category,Order qty,unit price,unit cost,Sales Price,Cost Price,Profit
SO19,4/10/2020,April,In-Store,USD,Joe Price,Northeast,Thousand Oaks,California,Wall Frames,Decoratives,3,644.2,460.14,1932.6000000000001,1380.42,552.1800000000001
SO20,1/31/2020,January,Distributor,USD,Jonathan Hawkins,West,Jurupa Valley,California,Wall Frames,Decoratives,6,387.17,276.55,2323.02,1659.3000000000002,663.7199999999998
SO21,2/22/2020,February,Online,USD,Samuel Fowler,Midwest,The Bronx,New York,Bathroom Furniture,Furniture,8,544.19,388.71,4353.52,3109.68,1243.8400000000006
SO22,3/25/2020,March,Online,USD,Joshua Ryan,Midwest,Dallas,Texas,Accessories,Accessories,5,380.98,272.13,1904.9,1360.65,544.25
SO23,1/31/2020,January,Distributor,USD,Paul Holmes,Midwest,North Hempstead,New York,Audio,Electronics,5,542.05,387.18,2710.25,1935.9,774.3499999999999
SO24,5/14/2020,May,Distributor,USD,Chris Armstrong,Northeast,Virginia Beach,Virginia,Bean Bags,Furniture,5,261.71,186.94,1308.55,934.7,373.8499999999999
SO25,4/12/2020,April,Online,USD,Shawn Cook,Midwest,Columbus,Georgia,Wall Frames,Decoratives,1,337.5,241.07,337.5,241.07,96.43
SO26,4/19/2020,April,Online,USD,Roy Rice,Midwest,Elizabeth,New Jersey,Bedroom Furniture,Furniture,9,370.51,264.65,3334.59,2381.85,952.7400000000002
SO27,3/17/2020,March,Wholesale,USD,Chris Armstrong,Northeast,Lisle (Township),Illinois,Cookware,Kitchenery,6,586.31,418.79,3517.8599999999997,2512.7400000000002,1005.1199999999994
SO28,5/1/2020,May,Wholesale,USD,Jerry Green,West,North Hempstead,New York,Table Linens,Decoratives,2,215.67,154.05,431.34,308.1,123.23999999999995
SO29,4/12/2020,April,Distributor,USD,Keith Griffin,Northeast,Enterprise,Nevada,Bar Tools,Drinkware,2,340.71,243.36,681.42,486.72,194.69999999999993
SO30,4/12/2020,April,Wholesale,USD,Shawn Wallace,South,Waterbury (Town),Connecticut,Wardrobes,Furniture,5,389.87,278.48,1949.35,1392.4,556.9499999999998
SO31,1/1/2020,January,Wholesale,USD,Jonathan Hawkins,West,Sacramento,California,Phones,Electronics,8,566.48,404.63,4531.84,3237.04,1294.8000000000002
SO32,3/13/2020,March,In-Store,USD,Chris Armstrong,Northeast,Syracuse,New York,Floor Lamps,Lighting,10,285.54,203.95,2855.4,2039.5,815.9000000000001
SO33,2/25/2020,February,Distributor,USD,Keith Griffin,Northeast,Palmdale,California,Bathroom Furniture,Furniture,3,225.18,160.84,675.54,482.52,193.01999999999998
SO34,4/16/2020,April,Wholesale,USD,Frank Brown,Northeast,Olathe,Kansas,Blankets,Beddings,5,579.53,413.95,2897.6499999999996,2069.75,827.8999999999996
SO35,5/16/2020,May,In-Store,USD,Joshua Bennett,Northeast,Hillsboro,Oregon,Stemware,Drinkware,6,593.56,423.97,3561.3599999999997,2543.82,1017.5399999999995
SO36,1/20/2020,January,Distributor,USD,Keith Griffin,Northeast,Davie,Florida,Sculptures,Decoratives,1,545.45,389.61,545.45,389.61,155.84000000000003
SO37,4/8/2020,April,In-Store,USD,Todd Roberts,West,York,Illinois,Pendants,Collections,8,551.27,393.77,4410.16,3150.16,1260.0
SO38,2/29/2020,February,Wholesale,USD,Stephen Payne,South,Durham,North Carolina,Table Lamps,Lighting,7,416.98,297.84,2918.86,2084.8799999999997,833.9800000000005
SO39,3/13/2020,March,Distributor,USD,Jonathan Hawkins,West,Milton,Illinois,Pillows,Beddings,10,262.33,187.38,2623.2999999999997,1873.8,749.4999999999998
SO40,4/15/2020,April,In-Store,USD,Joshua Little,South,Brooklyn,New York,Computers,Electronics,2,614.08,438.63,1228.16,877.26,350.9000000000001
SO41,2/12/2020,February,Distributor,USD,Jerry Green,West,Naperville (Township),Illinois,Table Linens,Decoratives,4,239.83,171.31,959.32,685.24,274.08000000000004
SO42,4/27/2020,April,In-Store,USD,Joshua Ryan,Midwest,Lansing,Michigan,Mirrors,Accessories,3,290.22,207.3,870.6600000000001,621.9000000000001,248.76
SO43,4/18/2020,April,In-Store,USD,Roy Rice,Midwest,Lakewood,Colorado,TV and video,Electronics,3,444.07,317.19,1332.21,951.5699999999999,380.6400000000001
SO44,1/13/2020,January,Wholesale,USD,Patrick Graham,South,Aurora,Illinois,TV and video,Electronics,4,288.65,206.18,1154.6,824.72,329.8799999999999
SO45,1/14/2020,January,Online,USD,Joshua Little,South,Los Angeles,California,Baseball,Sports,5,180.97,129.26,904.85,646.3,258.55000000000007
SO46,4/18/2020,April,In-Store,USD,Jerry Green,West,Schaumburg (Township),Illinois,Dinnerware,Kitchenery,4,190.49,136.07,761.96,544.28,217.68000000000006
SO47,1/11/2020,January,Online,USD,Patrick Graham,South,Fullerton,California,Vases,Decoratives,9,194.43,138.88,1749.8700000000001,1249.92,499.95000000000005
SO48,4/17/2020,April,Online,USD,Patrick Graham,South,Elizabeth,New Jersey,Furniture Cushions,Furniture,6,304.31,217.36,1825.8600000000001,1304.16,521.7
SO49,2/28/2020,February,Online,USD,Patrick Graham,South,Pompano Beach,Florida,Serveware,Kitchenery,5,455.08,325.06,2275.4,1625.3,650.1000000000001
SO50,3/25/2020,March,Wholesale,USD,Adam Hernandez,Northeast,El Monte,California,Wreaths,Decoratives,3,534.18,381.56,1602.54,1144.68,457.8599999999999
SO51,3/31/2020,March,Wholesale,USD,Patrick Graham,South,Raleigh,North Carolina,Vanities,Collections,9,299.54,213.96,2695.86,1925.64,770.22
SO52,2/6/2020,February,Online,USD,Stephen Payne,South,Sunnyvale,California,Bar Tools,Drinkware,8,212.67,151.91,1701.36,1215.28,486.0799999999999
SO53,4/17/2020,April,Online,USD,Chris Armstrong,Northeast,Lyons (Township),Illinois,Wreaths,Decoratives,4,184.1,131.5,736.4,526.0,210.39999999999998
SO54,1/1/2020,January,In-Store,USD,Chris Armstrong,Northeast,Clarksville,Tennessee,Furniture Cushions,Furniture,1,605.04,432.17,605.04,432.17,172.86999999999995
SO55,2/5/2020,February,In-Store,USD,Nicholas Cunningham,South,Islip,New York,Wine Storage,Drinkware,1,434.46,310.33,434.46,310.33,124.13
SO56,4/8/2020,April,Distributor,USD,Nicholas Cunningham,South,Port St. Lucie,Florida,Dinnerware,Kitchenery,6,393.68,281.2,2362.08,1687.1999999999998,674.8800000000001
SO57,4/26/2020,April,Online,USD,Joshua Bennett,Northeast,Fresno,California,Bean Bags,Furniture,10,514.02,367.16,5140.2,3671.6000000000004,1468.5999999999995
SO58,2/9/2020,February,Online,USD,Chris Armstrong,Northeast,Austin,Texas,Dinnerware,Kitchenery,9,628.65,449.04,5657.849999999999,4041.36,1616.4899999999993
SO59,3/6/2020,March,Distributor,USD,George Lewis,West,The Woodlands,Texas,Cookware,Kitchenery,3,454.75,324.82,1364.25,974.46,389.78999999999996
SO60,3/4/2020,March,Online,USD,Jonathan Hawkins,West,Rialto,California,Bean Bags,Furniture,6,184.67,131.91,1108.02,791.46,316.55999999999995
SO61,4/5/2020,April,Distributor,USD,Joshua Ryan,Midwest,Jersey City,New Jersey,TV and video,Electronics,9,207.67,148.33,1869.03,1334.97,534.06
SO62,3/5/2020,March,In-Store,USD,Joshua Kenedy,West,Peoria,Illinois,Rugs,Decoratives,2,465.11,332.22,930.22,664.44,265.78
SO63,5/22/2020,May,In-Store,USD,Frank Brown,Northeast,Cedar Rapids,Iowa,Bar Tools,Drinkware,9,310.43,221.74,2793.87,1995.66,798.2099999999998
SO64,1/17/2020,January,Distributor,USD,Jerry Green,West,Glendale,Arizona,Accessories,Accessories,10,643.7,459.78,6437.0,4597.799999999999,1839.2000000000007
SO65,1/27/2020,January,In-Store,USD,Joshua Bennett,Northeast,Lexington-Fayette,Kentucky,Wall Coverings,Decoratives,9,380.69,271.92,3426.21,2447.28,978.9299999999998
SO66,1/23/2020,January,Online,USD,Joshua Ryan,Midwest,Dayton,Ohio,Dining Furniture,Furniture,6,431.01,307.86,2586.06,1847.16,738.8999999999999
SO67,5/15/2020,May,Wholesale,USD,Shawn Wallace,South,San Angelo,Texas,Bakeware,Kitchenery,4,586.06,418.62,2344.24,1674.48,669.7599999999998
SO68,1/17/2020,January,Online,USD,Samuel Fowler,Midwest,Augusta,Georgia,Bean Bags,Furniture,4,424.1,302.93,1696.4,1211.72,484.68000000000006
SO69,5/6/2020,May,Wholesale,USD,Roger Alexander,Midwest,Pearland,Texas,Clocks,Accessories,1,344.87,246.34,344.87,246.34,98.53
SO70,3/16/2020,March,Online,USD,Samuel Fowler,Midwest,Olathe,Kansas,Cookware,Kitchenery,6,242.6,173.29,1455.6,1039.74,415.8599999999999
SO71,1/26/2020,January,Online,USD,Joshua Kenedy,West,Boulder,Colorado,Platters,Kitchenery,5,160.17,114.41,800.8499999999999,572.05,228.79999999999995
SO72,4/5/2020,April,Wholesale,USD,Joshua Little,South,Providence,Rhode Island,Stemware,Drinkware,6,291.35,208.11,1748.1000000000001,1248.66,499.44000000000005
SO73,3/15/2020,March,Distributor,USD,Jonathan Hawkins,West,Las Vegas,Nevada,Rugs,Decoratives,3,590.59,421.85,1771.77,1265.5500000000002,506.2199999999998
SO74,1/14/2020,January,Distributor,USD,Joshua Kenedy,West,Lakeland,Florida,Vases,Decoratives,6,589.28,420.92,3535.68,2525.52,1010.1599999999999
SO75,5/19/2020,May,Online,USD,Jerry Green,West,Henderson,Nevada,Mirrors,Accessories,6,502.9,359.21,3017.3999999999996,2155.2599999999998,862.1399999999999
SO76,1/2/2020,January,In-Store,USD,Adam Hernandez,Northeast,San Francisco,California,TV and video,Electronics,1,250.13,178.67,250.13,178.67,71.46000000000001
SO77,4/19/2020,April,Distributor,USD,Samuel Fowler,Midwest,Babylon (Town),New York,Stemware,Drinkware,7,383.62,274.01,2685.34,1918.07,767.2700000000002
SO78,3/22/2020,March,Distributor,USD,Douglas Tucker,Midwest,Seattle,Washington,Cocktail Glasses,Drinkware,7,323.28,230.92,2262.96,1616.4399999999998,646.5200000000002
SO79,3/5/2020,March,Wholesale,USD,Nicholas Cunningham,South,Mesquite,Texas,Baseball,Sports,7,579.85,414.18,4058.9500000000003,2899.26,1159.69
SO80,1/31/2020,January,Wholesale,USD,Paul Holmes,Midwest,Hialeah,Florida,Cocktail Glasses,Drinkware,6,303.66,216.9,1821.96,1301.4,520.56
SO81,2/5/2020,February,In-Store,USD,Joe Price,Northeast,San Buenaventura (Ventura),California,Table Linens,Decoratives,9,497.15,355.11,4474.349999999999,3195.9900000000002,1278.3599999999992
SO82,1/3/2020,January,Distributor,USD,Anthony Berry,West,Hayward,California,Outdoor Furniture,Furniture,10,287.63,205.45,2876.3,2054.5,821.8000000000002
SO83,1/30/2020,January,Wholesale,USD,Joshua Ryan,Midwest,Scottsdale,Arizona,Festive,Decoratives,7,398.28,284.48,2787.96,1991.3600000000001,796.5999999999999
SO84,3/22/2020,March,Online,USD,Shawn Cook,Midwest,Fayetteville,North Carolina,Outdoor Decor,Decoratives,5,336.25,240.18,1681.25,1200.9,480.3499999999999
SO85,3/27/2020,March,Distributor,USD,Douglas Tucker,Midwest,Maine,Illinois,Dining Furniture,Furniture,2,558.02,398.59,1116.04,797.18,318.86
SO86,2/2/2020,February,Distributor,USD,Donald Reynolds,South,Garden Grove,California,Collectibles,Collections,6,255.33,182.38,1531.98,1094.28,437.70000000000005
SO87,2/5/2020,February,Distributor,USD,Adam Hernandez,Northeast,Green Bay,Wisconsin,Furniture Cushions,Furniture,3,169.45,121.03,508.34999999999997,363.09000000000003,145.25999999999993
SO88,4/25/2020,April,Online,USD,Chris Armstrong,Northeast,Rancho Cucamonga,California,Stemware,Drinkware,2,622.16,444.4,1244.32,888.8,355.52
SO89,1/11/2020,January,Online,USD,Joshua Kenedy,West,Murfreesboro,Tennessee,Outdoor Decor,Decoratives,8,526.28,375.91,4210.24,3007.28,1202.9599999999996
SO90,3/6/2020,March,Online,USD,Samuel Fowler,Midwest,Torrance,California,Wreaths,Decoratives,6,502.85,359.18,3017.1000000000004,2155.08,862.0200000000004
SO91,4/14/2020,April,Online,USD,Joshua Little,South,Carlsbad,California,Outdoor Furniture,Furniture,9,598.29,427.35,5384.61,3846.15,1538.4599999999996
SO92,2/14/2020,February,In-Store,USD,Roy Rice,Midwest,The Woodlands,Texas,Vanities,Collections,4,455.67,325.48,1822.68,1301.92,520.76
SO93,1/8/2020,January,In-Store,USD,Donald Reynolds,South,Tyler,Texas,Floor Lamps,Lighting,6,295.89,211.35,1775.34,1268.1,507.24
SO94,1/2/2020,January,Wholesale,USD,Patrick Graham,South,Little Rock,Arkansas,Candles,Lighting,9,502.8,359.15,4525.2,3232.35,1292.85
SO95,4/5/2020,April,In-Store,USD,Samuel Fowler,Midwest,Las Vegas,Nevada,Wall Frames,Decoratives,4,292.28,208.77,1169.12,835.08,334.03999999999985
SO96,4/19/2020,April,Online,USD,Paul Holmes,Midwest,Lehigh Acres,Florida,Outdoor Decor,Decoratives,2,413.4,295.29,826.8,590.58,236.2199999999999
SO97,2/14/2020,February,Online,USD,Keith Griffin,Northeast,Tucson,Arizona,Vases,Decoratives,4,422.82,302.02,1691.28,1208.08,483.20000000000005
SO98,5/22/2020,May,Online,USD,Chris Armstrong,Northeast,Midland,Texas,Audio,Electronics,2,246.9,176.36,493.8,352.72,141.07999999999998
SO99,1/21/2020,January,In-Store,USD,Keith Griffin,Northeast,Springfield,Missouri,Bar Tools,Drinkware,2,309.6,221.14,619.2,442.28,176.92000000000007
SO100,3/31/2020,March,Online,USD,Jerry Green,West,Peoria,Arizona,Vanities,Collections,3,232.9,166.35,698.7,499.04999999999995,199.6500000000001
SO101,4/19/2020,April,Online,USD,George Lewis,West,Beaumont,Texas,Stemware,Drinkware,7,473.24,338.03,3312.6800000000003,2366.21,946.4700000000003
SO102,4/24/2020,April,Distributor,USD,Joe Price,Northeast,Oceanside,California,Audio,Electronics,7,191.15,136.54,1338.05,955.78,382.27
SO103,4/8/2020,April,Distributor,USD,Chris Armstrong,Northeast,Palmdale,California,Bean Bags,Furniture,5,315.5,225.35,1577.5,1126.75,450.75
SO104,3/6/2020,March,In-Store,USD,Joe Price,Northeast,Memphis,Tennessee,Cookware,Kitchenery,9,323.45,231.03,2911.0499999999997,2079.27,831.7799999999997
SO105,2/24/2020,February,Wholesale,USD,Nicholas Cunningham,South,Macon,Georgia,Floor Lamps,Lighting,4,503.09,359.35,2012.36,1437.4,574.9599999999998
SO106,4/15/2020,April,Distributor,USD,Stephen Payne,South,The Woodlands,Texas,Outdoor Decor,Decoratives,3,324.35,231.68,973.0500000000001,695.04,278.0100000000001
SO107,3/20/2020,March,Distributor,USD,Joshua Little,South,Chattanooga,Tennessee,Bar Tools,Drinkware,9,374.95,267.82,3374.5499999999997,2410.38,964.1699999999996
SO108,5/26/2020,May,Online,USD,Stephen Payne,South,Concord,California,Candleholders,Decoratives,10,396.18,282.99,3961.8,2829.9,1131.9
SO109,3/22/2020,March,In-Store,USD,George Lewis,West,Highlands Ranch,Colorado,Vanities,Collections,6,157.8,112.71,946.8000000000001,676.26,270.5400000000001
SO110,1/12/2020,January,Wholesale,USD,Frank Brown,Northeast,Broken Arrow,Oklahoma,Table Linens,Decoratives,9,363.72,259.8,3273.4800000000005,2338.2000000000003,935.2800000000002
SO111,5/11/2020,May,Online,USD,Shawn Wallace,South,Fairfield,California,Ornaments,Decoratives,3,365.57,261.12,1096.71,783.36,313.35
SO112,4/14/2020,April,Wholesale,USD,Anthony Berry,West,Carlsbad,California,Candles,Lighting,7,223.38,159.56,1563.6599999999999,1116.92,446.7399999999998
SO113,2/22/2020,February,Distributor,USD,Jonathan Hawkins,West,El Monte,California,Festive,Decoratives,3,402.34,287.39,1207.02,862.17,344.85
SO114,5/24/2020,May,Wholesale,USD,Todd Roberts,West,Roseville,California,Rugs,Decoratives,3,576.93,412.1,1730.79,1236.3000000000002,494.4899999999998
SO115,4/3/2020,April,In-Store,USD,Shawn Cook,Midwest,Shreveport,Louisiana,Ornaments,Decoratives,9,517.68,369.77,4659.12,3327.93,1331.19
SO116,4/2/2020,April,In-Store,USD,Stephen Payne,South,Laredo,Texas,Floor Lamps,Lighting,1,523.06,373.61,523.06,373.61,149.44999999999993
SO117,2/20/2020,February,In-Store,USD,Joshua Little,South,Pomona,California,Candles,Lighting,5,366.48,261.77,1832.4,1308.85,523.5500000000002
SO118,5/26/2020,May,In-Store,USD,Shawn Wallace,South,Center,Indiana,Table Linens,Decoratives,7,224.25,160.18,1569.75,1121.26,448.49
SO119,5/10/2020,May,Online,USD,Jerry Green,West,Santa Ana,California,Stemware,Drinkware,7,576.8,412.0,4037.5999999999995,2884.0,1153.5999999999995
SO120,2/9/2020,February,In-Store,USD,Paul Holmes,Midwest,Aurora (Township),Illinois,Wall Frames,Decoratives,4,461.8,329.86,1847.2,1319.44,527.76
SO121,3/13/2020,March,In-Store,USD,Joe Price,Northeast,Thornton (Township),Illinois,Floor Lamps,Lighting,3,327.29,233.78,981.8700000000001,701.34,280.5300000000001
SO122,3/21/2020,March,Distributor,USD,Chris Armstrong,Northeast,Fremont,California,Ornaments,Decoratives,4,635.01,453.58,2540.04,1814.32,725.72
SO123,3/6/2020,March,Distributor,USD,Shawn Wallace,South,Spokane,Washington,Serveware,Kitchenery,6,594.19,424.42,3565.1400000000003,2546.52,1018.6200000000003
SO124,5/25/2020,May,Distributor,USD,George Lewis,West,Lexington-Fayette,Kentucky,Platters,Kitchenery,1,292.82,209.16,292.82,209.16,83.66
SO125,2/23/2020,February,Wholesale,USD,Joshua Little,South,Lewisville,Texas,Bedroom Furniture,Furniture,8,307.91,219.94,2463.28,1759.52,703.7600000000002
SO126,2/1/2020,February,In-Store,USD,Donald Reynolds,South,Ramapo,New York,Bedroom Furniture,Furniture,2,393.35,280.96,786.7,561.92,224.7800000000001
SO127,4/20/2020,April,In-Store,USD,Paul Holmes,Midwest,Sunrise Manor,Nevada,Wine Storage,Drinkware,10,339.81,242.72,3398.1,2427.2,970.9000000000001
SO128,2/22/2020,February,Distributor,USD,Paul Holmes,Midwest,Queens,New York,TV and video,Electronics,4,612.31,437.36,2449.24,1749.44,699.7999999999997
SO129,4/4/2020,April,Online,USD,Paul Holmes,Midwest,Cambridge,Massachusetts,Cocktail Glasses,Drinkware,7,304.59,217.57,2132.1299999999997,1522.99,609.1399999999996
SO130,2/21/2020,February,Online,USD,Jonathan Hawkins,West,Stockton,California,Vases,Decoratives,6,168.1,120.07,1008.5999999999999,720.42,288.17999999999995
SO131,4/27/2020,April,In-Store,USD,Paul Holmes,Midwest,Chandler,Arizona,Home Fragrances,Decoratives,10,343.45,245.32,3434.5,2453.2,981.3000000000002
SO132,1/21/2020,January,Distributor,USD,Todd Roberts,West,Oklahoma City,Oklahoma,Table Lamps,Lighting,4,238.01,170.01,952.04,680.04,272.0
SO133,4/18/2020,April,Wholesale,USD,Donald Reynolds,South,Spring Valley,Nevada,Bedroom Furniture,Furniture,10,638.92,456.37,6389.2,4563.7,1825.5
SO134,5/22/2020,May,Distributor,USD,Jerry Green,West,Colorado Springs,Colorado,Bedroom Furniture,Furniture,8,153.04,109.31,1224.32,874.48,349.8399999999999
SO135,3/29/2020,March,In-Store,USD,Jerry Green,West,Memphis,Tennessee,Festive,Decoratives,5,556.07,397.19,2780.3500000000004,1985.95,794.4000000000003
SO136,1/20/2020,January,Wholesale,USD,Frank Brown,Northeast,Providence,Rhode Island,Baseball,Sports,3,225.04,160.74,675.12,482.22,192.89999999999998
SO137,4/29/2020,April,Online,USD,Adam Hernandez,Northeast,Peoria City,Illinois,Phones,Electronics,8,431.37,308.12,3450.96,2464.96,986.0
SO138,5/9/2020,May,Online,USD,Donald Reynolds,South,Wilmington,North Carolina,Pendants,Collections,7,638.33,455.95,4468.31,3191.65,1276.6600000000003
SO139,4/15/2020,April,Online,USD,Roy Rice,Midwest,Murfreesboro,Tennessee,Serveware,Kitchenery,4,639.52,456.8,2558.08,1827.2,730.8799999999999
SO140,3/12/2020,March,In-Store,USD,Roy Rice,Midwest,Metairie,Louisiana,Floral,Decoratives,6,491.96,351.4,2951.7599999999998,2108.3999999999996,843.3600000000001
SO141,5/21/2020,May,Online,USD,Shawn Cook,Midwest,Thousand Oaks,California,Table Linens,Decoratives,7,208.05,148.6,1456.3500000000001,1040.2,416.1500000000001
SO142,1/19/2020,January,In-Store,USD,Joshua Bennett,Northeast,Durham,North Carolina,Vases,Decoratives,7,202.22,144.45,1415.54,1011.1499999999999,404.3900000000001
SO143,1/7/2020,January,Distributor,USD,Roger Alexander,Midwest,Lehigh Acres,Florida,Wall Frames,Decoratives,2,381.36,272.4,762.72,544.8,217.92000000000007
SO144,2/1/2020,February,In-Store,USD,Shawn Cook,Midwest,Garland,Texas,Wreaths,Decoratives,9,580.14,414.38,5221.26,3729.42,1491.8400000000001
SO145,4/3/2020,April,Wholesale,USD,Todd Roberts,West,Newport News,Virginia,Floral,Decoratives,4,624.7,446.21,2498.8,1784.84,713.9600000000003
SO146,4/6/2020,April,In-Store,USD,Douglas Tucker,Midwest,Boston,Massachusetts,Wall Frames,Decoratives,5,541.0,386.43,2705.0,1932.15,772.8499999999999
SO147,1/2/2020,January,Online,USD,Samuel Fowler,Midwest,Athens,Georgia,Accessories,Accessories,8,235.04,167.89,1880.32,1343.12,537.2
SO148,5/31/2020,May,Online,USD,Joshua Little,South,Washington,Indiana,Basketball,Sports,1,538.27,384.48,538.27,384.48,153.78999999999996
SO149,3/2/2020,March,Wholesale,USD,Chris Armstrong,Northeast,Birmingham,Alabama,Bean Bags,Furniture,7,314.01,224.3,2198.0699999999997,1570.1000000000001,627.9699999999996
SO150,1/6/2020,January,Wholesale,USD,Patrick Graham,South,Toledo,Ohio,Platters,Kitchenery,3,402.2,287.29,1206.6,861.8700000000001,344.7299999999998
SO151,4/26/2020,April,Online,USD,Frank Brown,Northeast,Milwaukee,Wisconsin,Table Lamps,Lighting,10,482.29,344.49,4822.900000000001,3444.9,1378.0000000000005
SO152,1/25/2020,January,Distributor,USD,Samuel Fowler,Midwest,Moreno Valley,California,Vases,Decoratives,10,429.26,306.61,4292.6,3066.1000000000004,1226.5
SO153,5/16/2020,May,Online,USD,Joshua Ryan,Midwest,Newport News,Virginia,Baseball,Sports,5,371.1,265.07,1855.5,1325.35,530.1500000000001
SO154,5/5/2020,May,In-Store,USD,Carl Nguyen,Midwest,North Hempstead,New York,Wine Storage,Drinkware,5,164.04,117.17,820.1999999999999,585.85,234.3499999999999
SO155,5/4/2020,May,In-Store,USD,Joshua Bennett,Northeast,Frisco,Texas,Floral,Decoratives,6,520.73,371.95,3124.38,2231.7,892.6800000000003
SO156,5/23/2020,May,Online,USD,Adam Hernandez,Northeast,Wichita,Kansas,Wreaths,Decoratives,2,463.27,330.91,926.54,661.82,264.7199999999999
SO157,5/22/2020,May,Wholesale,USD,Adam Hernandez,Northeast,West Valley City,Utah,Pendants,Collections,10,447.27,319.48,4472.7,3194.8,1277.8999999999996
SO158,4/30/2020,April,Online,USD,Joshua Kenedy,West,Bremen,Illinois,Computers,Electronics,1,528.16,377.25,528.16,377.25,150.90999999999997
SO159,5/16/2020,May,In-Store,USD,Todd Roberts,West,Fontana,California,Home Fragrances,Decoratives,2,280.81,200.58,561.62,401.16,160.45999999999998
SO160,1/3/2020,January,Online,USD,Jerry Green,West,Victorville,California,Sculptures,Decoratives,9,254.07,181.48,2286.63,1633.32,653.3100000000002
SO161,1/10/2020,January,Online,USD,Paul Holmes,Midwest,Gilbert,Arizona,Sculptures,Decoratives,8,480.04,342.89,3840.32,2743.12,1097.2000000000003
SO162,4/6/2020,April,Online,USD,Shawn Cook,Midwest,Vancouver,Washington,Pendants,Collections,10,335.52,239.65,3355.2,2396.5,958.6999999999998
SO163,5/27/2020,May,In-Store,USD,Stephen Payne,South,Hartford (Town),Connecticut,Audio,Electronics,10,264.89,189.2,2648.8999999999996,1892.0,756.8999999999996
SO164,2/8/2020,February,Online,USD,Todd Roberts,West,Riverside,California,Basketball,Sports,2,204.6,146.14,409.2,292.28,116.92000000000002
SO165,2/2/2020,February,In-Store,USD,Chris Armstrong,Northeast,Garland,Texas,Stemware,Drinkware,5,544.44,388.89,2722.2000000000003,1944.4499999999998,777.7500000000005
SO166,5/8/2020,May,Wholesale,USD,Joshua Ryan,Midwest,Wilmington,North Carolina,Photo Frames,Decoratives,8,519.66,371.19,4157.28,2969.52,1187.7599999999998
